prompt,completion
"造物主常常为庸人设计了什么？
",真的猛士，敢于直面惨淡的人生，敢于正视淋漓的鲜血。这是怎样的哀痛者和幸福者？然而造化又常常为庸人设计，以时间的流逝，来洗涤旧迹，仅是留下淡红的血色和微漠的悲哀。在这淡红的血色和微漠的悲哀中，又给人暂得偷生，维持着这似人非人的世界。
"时间流逝可以洗涤旧迹吗？
",真的猛士，敢于直面惨淡的人生，敢于正视淋漓的鲜血。这是怎样的哀痛者和幸福者？然而造化又常常为庸人设计，以时间的流逝，来洗涤旧迹，仅是留下淡红的血色和微漠的悲哀。在这淡红的血色和微漠的悲哀中，又给人暂得偷生，维持着这似人非人的世界。
"什么是淡红的血色和微漠的悲哀？
",真的猛士，敢于直面惨淡的人生，敢于正视淋漓的鲜血。这是怎样的哀痛者和幸福者？然而造化又常常为庸人设计，以时间的流逝，来洗涤旧迹，仅是留下淡红的血色和微漠的悲哀。在这淡红的血色和微漠的悲哀中，又给人暂得偷生，维持着这似人非人的世界。
"如何维持这种似人非人的世界？
",真的猛士，敢于直面惨淡的人生，敢于正视淋漓的鲜血。这是怎样的哀痛者和幸福者？然而造化又常常为庸人设计，以时间的流逝，来洗涤旧迹，仅是留下淡红的血色和微漠的悲哀。在这淡红的血色和微漠的悲哀中，又给人暂得偷生，维持着这似人非人的世界。
"我们为什么要以人为鉴？
",以人为鉴，明白非常，是使人能够反省的妙法。
"明白非常能起到什么作用？
",以人为鉴，明白非常，是使人能够反省的妙法。
"什么是反省的妙法？
",以人为鉴，明白非常，是使人能够反省的妙法。
"这位伟大的男子有什么特征？
",有一伟大的男子站在我面前，美丽，慈祥，遍身有大光辉，然而我知道他是魔鬼。
"他是怎样的魔鬼？
",有一伟大的男子站在我面前，美丽，慈祥，遍身有大光辉，然而我知道他是魔鬼。
"他的光芒来源于什么？
",有一伟大的男子站在我面前，美丽，慈祥，遍身有大光辉，然而我知道他是魔鬼。
"他所代表的意义是什么？
",有一伟大的男子站在我面前，美丽，慈祥，遍身有大光辉，然而我知道他是魔鬼。
"他对我有什么意义？
",有一伟大的男子站在我面前，美丽，慈祥，遍身有大光辉，然而我知道他是魔鬼。
"你认为回忆者有什么意义？它如何使人欢欣和寂寞？
",所谓回忆者，虽说可以使人欢欣，有时又不免使人寂寞，使精神的丝缕还牵着已逝的寂寞的时光，又有什么意味呢。
"人类的悲欢是如何不相通的？
",人类的悲欢并不相通，我只觉得他们吵闹。
"为什么我只能听到他们吵闹？
",人类的悲欢并不相通，我只觉得他们吵闹。
"人类有什么方法可以让悲欢相通？
",人类的悲欢并不相通，我只觉得他们吵闹。
"人类的悲欢是否可以被认同？
",人类的悲欢并不相通，我只觉得他们吵闹。
"我们该如何才能听到人类悲欢的声音？
",人类的悲欢并不相通，我只觉得他们吵闹。
"你对这句话的理解是什么？
",言之无文，行而不远。
"你认为它暗示了什么？
",言之无文，行而不远。
"你认为它对行为有何影响？
",言之无文，行而不远。
"你认为它是否有助于避免错误？
",言之无文，行而不远。
"你如何使用这句话来指导自己？
",言之无文，行而不远。
"幼稚是什么意思？
",幼稚是会成长，会成熟的。只要不衰老，腐败，就好。
"幼稚会怎样成长和成熟？
",幼稚是会成长，会成熟的。只要不衰老，腐败，就好。
"什么可能会导致幼稚的衰老和腐败？
",幼稚是会成长，会成熟的。只要不衰老，腐败，就好。
"幼稚的意义是什么？
",幼稚是会成长，会成熟的。只要不衰老，腐败，就好。
"使幼稚保持新鲜有何重要性？
",幼稚是会成长，会成熟的。只要不衰老，腐败，就好。
"幼稚的意思是什么？
",幼稚是会成长，会成熟的。只要不衰老，腐败，就好。
"幼稚怎样可以成长和成熟？
",幼稚是会成长，会成熟的。只要不衰老，腐败，就好。
"什么会导致幼稚的衰老和腐败？
",幼稚是会成长，会成熟的。只要不衰老，腐败，就好。
"幼稚有什么
",幼稚是会成长，会成熟的。只要不衰老，腐败，就好。
"这句话的含义是什么？
",墨写的谎言，决掩不住血写的事实。
"谎言和事实有什么不同？
",墨写的谎言，决掩不住血写的事实。
"为什么血液写出的事实比墨水写出的谎言更有说服力？
",墨写的谎言，决掩不住血写的事实。
"这句话背后有什么样的故事？
",墨写的谎言，决掩不住血写的事实。
"这句话暗示什么？
",墨写的谎言，决掩不住血写的事实。
"使用中文回复：
",墨写的谎言，决掩不住血写的事实。
"这句话的含义是：不论墨水写出多么谎言，血液写出的事实都无法掩饰。
",墨写的谎言，决掩不住血写的事实。
"谎言
",墨写的谎言，决掩不住血写的事实。
"您认为贪安稳会带来什么样的后果？
",所以，贪安稳就没有自由，要自由就总要历些危险。
"您认为追求自由会带来什么样的挑战？
",所以，贪安稳就没有自由，要自由就总要历些危险。
"如何实现安全的自由？
",所以，贪安稳就没有自由，要自由就总要历些危险。
"获得自由的代价是什么？
",所以，贪安稳就没有自由，要自由就总要历些危险。
"您认为什么是必要的风险？
",所以，贪安稳就没有自由，要自由就总要历些危险。
"你每次看运动会时，都会有什么样的想法？
",我每看举动会时，常常何等念：劣越者虽然可敬，但那虽然降伍而仍非跑至起面没有止的竞技者，战睹了何等竞技者而肃然没有笑的吭油，乃正是直？将去的脊梁。
"在你眼中，那些落伍者有怎样的尊严？
",我每看举动会时，常常何等念：劣越者虽然可敬，但那虽然降伍而仍非跑至起面没有止的竞技者，战睹了何等竞技者而肃然没有笑的吭油，乃正是直？将去的脊梁。
"在你看到有勇气而没有笑的参赛者时，你的心情是什么？
",我每看举动会时，常常何等念：劣越者虽然可敬，但那虽然降伍而仍非跑至起面没有止的竞技者，战睹了何等竞技者而肃然没有笑的吭油，乃正是直？将去的脊梁。
"对你来说，什么才是真正的勇敢？
",我每看举动会时，常常何等念：劣越者虽然可敬，但那虽然降伍而仍非跑至起面没有止的竞技者，战睹了何等竞技者而肃然没有笑的吭油，乃正是直？将去的脊梁。
"你认为参赛者的脊梁将会去往何方？
",我每看举动会时，常常何等念：劣越者虽然可敬，但那虽然降伍而仍非跑至起面没有止的竞技者，战睹了何等竞技者而肃然没有笑的吭油，乃正是直？将去的脊梁。
"这段文字的主要意思是什么？
",绝望之为虚妄，正与希望相同！
"绝望和希望有什么不同？
",绝望之为虚妄，正与希望相同！
"绝望也可以被视为虚妄的原因是什么？
",绝望之为虚妄，正与希望相同！
"这段文字的作者想要传达什么信息？
",绝望之为虚妄，正与希望相同！
"这段文字如何影响读者的思想？
",绝望之为虚妄，正与希望相同！
"你对这段文字有什么看法？文人在死后受到什么样的不公正待遇？为什么会有人以攻击文人来自炫？这种做法是否可以得到认可？
",文人的遭殃，不在生前的被攻击和被冷落，一瞑之后，言行两亡，于是无聊之徒，谬托知己，是非蜂起，既以自炫？又以卖钱，连死尸也成了他们的沽名获利之具，这倒是值得悲哀的。
"我是什么时候不允许自己有一点灰心丧气？
",无论何时，不管怎样，我决不允许自己有一点灰心丧气。
"我为什么要坚持不允许自己有一点灰心丧气？
",无论何时，不管怎样，我决不允许自己有一点灰心丧气。
"我应该如何避免灰心丧气？
",无论何时，不管怎样，我决不允许自己有一点灰心丧气。
"我应该在什么情况下，特别注意不要有一点灰心丧气？
",无论何时，不管怎样，我决不允许自己有一点灰心丧气。
"我应该如何坚持不允许自己有一点灰心丧气？
",无论何时，不管怎样，我决不允许自己有一点灰心丧气。
"问：什么是世故？为什么说一个人“不通世故”和“深于世故”都不是好话？
",人世间真是难处的地方，说一个人 “不通世故”，固然不是好话，但说他 “深于世故”，也不是好话。
"问：这段文字主要在描述什么？
",一部《红楼梦》，单是命意，就因读者的眼光而有种种：经学家看见《易》，道学家看见淫，才子看见缠绵，革命家看见排满，流言家看见宫闱秘事……
"中文：这段文字主要描述《红楼梦》因不同读者的眼光而有种种不同的命意。
",一部《红楼梦》，单是命意，就因读者的眼光而有种种：经学家看见《易》，道学家看见淫，才子看见缠绵，革命家看见排满，流言家看见宫闱秘事……
"这句话的意思是什么？
",人生最大的痛苦莫过于梦醒时发现无路可走。
"这句话的意思是：人生最大的痛苦就是醒来时发现自己没有前进的路可走。
",人生最大的痛苦莫过于梦醒时发现无路可走。
"问题：泥土和天才有什么不同？什么是泥土的伟大之处？为什么泥土会带来大希望？
",泥土和天才比，当然是不足齿数的，然而不是坚苦卓绝者，也怕不容易做；不过事在人为，比空等天赋的天才有把握。这一点，是泥土的伟大的地方，也是反有大希望的地方。
"你为什么会时时解剖别人？
",我的确时时解剖别人，然而更多的是更无情面地解剖自己。
"你会如何更无情面地解剖自己？
",我的确时时解剖别人，然而更多的是更无情面地解剖自己。
"在解剖别人和自己的过程中，你最害怕的是什么？
",我的确时时解剖别人，然而更多的是更无情面地解剖自己。
"当你解剖别人和自己时，你是否会发现任何共同点？
",我的确时时解剖别人，然而更多的是更无情面地解剖自己。
"你时时解剖别人和自己会让你感受到什么？
",我的确时时解剖别人，然而更多的是更无情面地解剖自己。
"我们应该如何好好利用时间？
",生命是以时间为单位的，浪费别人的时间等于谋财害命；浪费自己的时间，等于慢性自杀。
"我们可以做些什么来充分利用时间？
",生命是以时间为单位的，浪费别人的时间等于谋财害命；浪费自己的时间，等于慢性自杀。
"浪费别人时间和浪费自己时间有什么不同？
",生命是以时间为单位的，浪费别人的时间等于谋财害命；浪费自己的时间，等于慢性自杀。
"我们有什么样的行动能够避免浪费时间？
",生命是以时间为单位的，浪费别人的时间等于谋财害命；浪费自己的时间，等于慢性自杀。
"时间的重要性是什么？
",生命是以时间为单位的，浪费别人的时间等于谋财害命；浪费自己的时间，等于慢性自杀。
"骂别人不革命是什么意思？
",骂别人不革命，便是革命者，则自己不做事，而骂别人的事做得不好，自然便是更做事者。若与此辈理论，可以被牵连到白费唇舌，一事无成，也就是白活一世，于己于人，都无益处。我现在得了妙法，是谣言不辩，诬蔑不洗，只管自己做事。
"革命者是指什么？
",骂别人不革命，便是革命者，则自己不做事，而骂别人的事做得不好，自然便是更做事者。若与此辈理论，可以被牵连到白费唇舌，一事无成，也就是白活一世，于己于人，都无益处。我现在得了妙法，是谣言不辩，诬蔑不洗，只管自己做事。
"什么是白费唇舌？
",骂别人不革命，便是革命者，则自己不做事，而骂别人的事做得不好，自然便是更做事者。若与此辈理论，可以被牵连到白费唇舌，一事无成，也就是白活一世，于己于人，都无益处。我现在得了妙法，是谣言不辩，诬蔑不洗，只管自己做事。
"白活一世是什么意思？
",骂别人不革命，便是革命者，则自己不做事，而骂别人的事做得不好，自然便是更做事者。若与此辈理论，可以被牵连到白费唇舌，一事无成，也就是白活一世，于己于人，都无益处。我现在得了妙法，是谣言不辩，诬蔑不洗，只管自己做事。
"妙法是什么？
",骂别人不革命，便是革命者，则自己不做事，而骂别人的事做得不好，自然便是更做事者。若与此辈理论，可以被牵连到白费唇舌，一事无成，也就是白活一世，于己于人，都无益处。我现在得了妙法，是谣言不辩，诬蔑不洗，只管自己做事。
"为什么费了苦功而达到的事比不费力而达到的更可贵？
",同一件事，费了苦功而达到的，也比并不费力而达到的可贵。
"你觉得费力而达到的目标有什么样的好处？
",同一件事，费了苦功而达到的，也比并不费力而达到的可贵。
"费力而达到的成果会比不费力而达到的更有价值吗？
",同一件事，费了苦功而达到的，也比并不费力而达到的可贵。
"为什么费力才能达到更好的成果？
",同一件事，费了苦功而达到的，也比并不费力而达到的可贵。
"你觉得费力达成某件事会比不费力达到的更有意义吗？
",同一件事，费了苦功而达到的，也比并不费力而达到的可贵。
"这段文字描述的是什么？
",有些人死了，但他还活着；有些人活着，但他已经死了。
"这段文字的主要意思是什么？
",有些人死了，但他还活着；有些人活着，但他已经死了。
"什么样的情况会让一个人死而又活着？
",有些人死了，但他还活着；有些人活着，但他已经死了。
"什么情况会让一个人活着却已经死了？
",有些人死了，但他还活着；有些人活着，但他已经死了。
"这段文字说明了什么问题？
",有些人死了，但他还活着；有些人活着，但他已经死了。
"你对这段文字有什么样的看法？她记得我的言辞和行动是怎样的？我的言辞和行动能够滔滔背诵和叙述得如生吗？她对我看不见的影片有什么样的看法？
",她却是什么都记得：我的言辞，竟至于读熟了的一般，能够滔滔背诵；我的举动，就如有一张我所看不见的影片挂在眼下，叙述得如生，很细微，自然连那使我不愿再想的浅薄的电影的一闪。
"娜拉最终会做出什么样的决定？
",娜拉走后怎样，不是堕落，就是回来。
"娜拉出走之后发生了什么事情？
",娜拉走后怎样，不是堕落，就是回来。
"娜拉出走背后的原因是什么？
",娜拉走后怎样，不是堕落，就是回来。
"娜拉回来后有什么不同？
",娜拉走后怎样，不是堕落，就是回来。
"娜拉离开后可能会有什么样的后果？
",娜拉走后怎样，不是堕落，就是回来。
"这段文字描述了什么？
",在我生存时，曾经玩笑地设想：假使一个人的死亡，只是运动神经的废灭，而知觉还在，那就比全死了更可怕。谁知道我的预想竟的中了，我自己就在证实这预想。
"为什么作者认为只是运动神经的废灭比全死了更可怕？
",在我生存时，曾经玩笑地设想：假使一个人的死亡，只是运动神经的废灭，而知觉还在，那就比全死了更可怕。谁知道我的预想竟的中了，我自己就在证实这预想。
"这段文字说明作者怎样证实了他自己的预想？
",在我生存时，曾经玩笑地设想：假使一个人的死亡，只是运动神经的废灭，而知觉还在，那就比全死了更可怕。谁知道我的预想竟的中了，我自己就在证实这预想。
"作者的这种预想是怎样产生的？
",在我生存时，曾经玩笑地设想：假使一个人的死亡，只是运动神经的废灭，而知觉还在，那就比全死了更可怕。谁知道我的预想竟的中了，我自己就在证实这预想。
"什么是运动神经？
",在我生存时，曾经玩笑地设想：假使一个人的死亡，只是运动神经的废灭，而知觉还在，那就比全死了更可怕。谁知道我的预想竟的中了，我自己就在证实这预想。
"什么是轻敌？
",轻敌，最容易失败。
"为什么轻敌容易失败？
",轻敌，最容易失败。
"什么样的情况会让人更容易轻敌？
",轻敌，最容易失败。
"对于轻敌的后果会是什么？
",轻敌，最容易失败。
"我们应该如何避免轻敌？
",轻敌，最容易失败。
"使用中文回复：
",轻敌，最容易失败。
"轻敌是指掉以轻心对待对手，把他们低估的行为。
",轻敌，最容易失败。
"因为轻敌会导致自己对对手的评估不准确，从而导致
",轻敌，最容易失败。
"父母对子女应该做什么？
",父母对于子女，应该健全的产生，尽力的教育，完全的解放。
"教育什么是最重要的？
",父母对于子女，应该健全的产生，尽力的教育，完全的解放。
"如何完全解放子女？
",父母对于子女，应该健全的产生，尽力的教育，完全的解放。
"父母应该如何健全地培养子女？
",父母对于子女，应该健全的产生，尽力的教育，完全的解放。
"哪些方面有助于教育孩子？
",父母对于子女，应该健全的产生，尽力的教育，完全的解放。
"中文回复：
",父母对于子女，应该健全的产生，尽力的教育，完全的解放。
"父母对子女应该做出健全的产生，尽力的教育，完全的解放。
",父母对于子女，应该健全的产生，尽力的教育，完全的解放。
"教育孩子的思想观念、道德观念以及品行最重要。
",父母对于子女，应该健全的产生，尽力的教育，完全的解放。
"3.
",父母对于子女，应该健全的产生，尽力的教育，完全的解放。
"短袖子会让人立刻想到什么？
",一见短袖子，立刻想到白臂膊，立刻想到全裸体，立刻想到生殖器，立刻想到性交，立刻想到杂交，立刻想到私生子。中国人的想象惟在这一层能够如此跃进。
"为什么中国人的想象可以如此跃进？
",一见短袖子，立刻想到白臂膊，立刻想到全裸体，立刻想到生殖器，立刻想到性交，立刻想到杂交，立刻想到私生子。中国人的想象惟在这一层能够如此跃进。
"短袖子会让人想到性交和杂交吗？
",一见短袖子，立刻想到白臂膊，立刻想到全裸体，立刻想到生殖器，立刻想到性交，立刻想到杂交，立刻想到私生子。中国人的想象惟在这一层能够如此跃进。
"你可以问什么？
",倘有陌生的声音叫你的名字，你万不可答应它。
"什么样的声音叫你的名字？
",倘有陌生的声音叫你的名字，你万不可答应它。
"你为什么不可以答应它？
",倘有陌生的声音叫你的名字，你万不可答应它。
"你应该怎么做？
",倘有陌生的声音叫你的名字，你万不可答应它。
"这段话的意思是什么？
",世间本无路，走的人多了，也就成了路。
"为什么没有路的时候，走的人多了就成了路？
",世间本无路，走的人多了，也就成了路。
"世界上有多少人正在走自己的路？
",世间本无路，走的人多了，也就成了路。
"走自己的路有什么意义？
",世间本无路，走的人多了，也就成了路。
"如何坚持走自己的路？
",世间本无路，走的人多了，也就成了路。
"你认为社会组织对个人有何影响？社会意志的强弱会如何影响个人？个人应该如何针对社会组织和意志来做出调整？
",所以我们且不要高谈什么连自己也并不了然的社会组织或意志强弱的滥调，先来设身处地的想一想罢。
"为什么你总是以最坏的恶意揣测中国人？
",我向来不惮以最坏的恶意揣测中国人。
"你对中国人有什么看法？
",我向来不惮以最坏的恶意揣测中国人。
"你如何判断一个人是否恶意？
",我向来不惮以最坏的恶意揣测中国人。
"你有何了解中国文化的偏见？
",我向来不惮以最坏的恶意揣测中国人。
"你为什么不相信中国人？
",我向来不惮以最坏的恶意揣测中国人。
"您认为真话和笑话之间有什么样的区别？
",凡对于以真话为笑话的，以笑话为真话的，以笑话为笑话的，只有一个方法：就是不说话。于是我从此尽量少说话。
"您认为不说话是一种什么样的方法？
",凡对于以真话为笑话的，以笑话为真话的，以笑话为笑话的，只有一个方法：就是不说话。于是我从此尽量少说话。
"您为什么要尽量少说话？
",凡对于以真话为笑话的，以笑话为真话的，以笑话为笑话的，只有一个方法：就是不说话。于是我从此尽量少说话。
"为什么美国人说时间就是金钱？
",美国人说，时间就是金钱。但我想：时间就是性命。无端的空耗别人的时间，其实是无异于谋财害命的。
"为什么我认为时间就是性命？
",美国人说，时间就是金钱。但我想：时间就是性命。无端的空耗别人的时间，其实是无异于谋财害命的。
"无端的空耗别人的时间的后果是什么？
",美国人说，时间就是金钱。但我想：时间就是性命。无端的空耗别人的时间，其实是无异于谋财害命的。
"爱夜的人和不爱夜的人有什么不同？
",爱夜的人要有听夜的耳朵和看夜的眼睛，自在暗中，看一切暗。
"什么是“听夜的耳朵”？
",爱夜的人要有听夜的耳朵和看夜的眼睛，自在暗中，看一切暗。
"为什么要有“看夜的眼睛”？
",爱夜的人要有听夜的耳朵和看夜的眼睛，自在暗中，看一切暗。
"在暗中，我们能看到什么？
",爱夜的人要有听夜的耳朵和看夜的眼睛，自在暗中，看一切暗。
"在夜晚，有什么特别的感受？
",爱夜的人要有听夜的耳朵和看夜的眼睛，自在暗中，看一切暗。
"你认为这段文字想表达什么？ 你认为这段文字所描述的未来是美好的还是不美好的？ 作者希望什么样的未来？ 为什么他希望未来到来尽快？
",在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。为我自己，为友与仇，人与兽，爱者与不爱者，我希望这野草的朽腐，火速到来。要不然，我先就未曾生存，这实在比死亡与朽腐更其不幸。
"你对这段文字的理解是什么？这段文字想表达什么？人民的惩罚之心有多大？军阀和学者的惩罚之心有什么不同之处？
",我先前的攻击社会，其实也是无聊的。社会没有知道我在攻击，倘一知道，我早已死无葬身之所了…… 我之得以偷生者，因为他们大多数不识字，不知道，并且我的话也无效力，如一箭之入大海。否则，几条杂感，就可以送命的。民众的惩罚之心，并不下于学者和军阀。
"什么是大恨？
",绝望正与希望相同，大恨恰恰是大爱的起点。
"绝望和希望是怎么相同的？
",绝望正与希望相同，大恨恰恰是大爱的起点。
"大恨是怎样成为大爱的起点的？
",绝望正与希望相同，大恨恰恰是大爱的起点。
"为什么大恨可以滋生大爱？
",绝望正与希望相同，大恨恰恰是大爱的起点。
"大爱和大恨有什么不同？
",绝望正与希望相同，大恨恰恰是大爱的起点。
"大恨是一种极度的不满和愤怒。
",绝望正与希望相同，大恨恰恰是大爱的起点。
"绝望和希望都是一种极端的情绪，都会让人感到彷徨无助。
",绝望正与希望相同，大恨恰恰是大爱的起点。
"大恨可以激发人们对大爱的愿望，
",绝望正与希望相同，大恨恰恰是大爱的起点。
"什么是“一劳永逸”的话？
",“一劳永逸”的话，有是有的，而 “一劳永逸” 的事却极少……。
"为什么“一劳永逸”的事极少？
",“一劳永逸”的话，有是有的，而 “一劳永逸” 的事却极少……。
"“一劳永逸”有什么意义？
",“一劳永逸”的话，有是有的，而 “一劳永逸” 的事却极少……。
"什么是“一劳永逸”的话？
",“一劳永逸”的话，有是有的，而 “一劳永逸” 的事却极少……。
"为什么“一劳永逸”的事极少？
",“一劳永逸”的话，有是有的，而 “一劳永逸” 的事却极少……。
"“一劳永逸”有什么意义？
",“一劳永逸”的话，有是有的，而 “一劳永逸” 的事却极少……。
"“一劳永逸”的话是什么？
",“一劳永逸”的话，有是有的，而 “一劳永逸” 的事却极少……。
"为什么“一劳永逸”的事却极少？
",“一劳永逸”的话，有是有的，而 “一劳永逸” 的事却极少……。
"“一劳永逸”能给我们带
",“一劳永逸”的话，有是有的，而 “一劳永逸” 的事却极少……。
"读书会有什么不良影响？
",读死书会变成书呆子甚至于成为书橱。
"为什么读书会变成书呆子？
",读死书会变成书呆子甚至于成为书橱。
"读书会影响大脑的发展吗？
",读死书会变成书呆子甚至于成为书橱。
"为什么扶着叛徒的尸体哭泣的人才是真脊梁？
",扶着叛徒的尸体哭泣的人，才是真脊梁。
"叛徒的行为会怎样影响人们的态度？
",扶着叛徒的尸体哭泣的人，才是真脊梁。
"扶着叛徒的尸体哭泣的人能发挥什么样的力量？
",扶着叛徒的尸体哭泣的人，才是真脊梁。
"扶着叛徒的尸体哭泣有什么启发？
",扶着叛徒的尸体哭泣的人，才是真脊梁。
"为什么要扶着叛徒的尸体哭泣？
",扶着叛徒的尸体哭泣的人，才是真脊梁。
"你认为有耐劳作的体力、纯洁高尚的道德、广博自由的精神有什么重要的意义？
",养成他们有耐劳作的体力，纯洁高尚的道德，广博自由能容纳新潮流的精神，也就是能在世界新潮流中游泳，不被淹没的力量。
"为什么中国的士大夫喜欢“无中生有”？
",不过中国的有一些士大夫，总爱无中生有，移花接木的造出故事来，他们不但歌颂升平，还粉饰黑暗。关于铁氏二女的撒谎，尚其小焉者耳，大至胡元杀掠，满清焚屠之际，也还会有人单单捧出什么烈女绝命，难妇题壁的诗词来，这个艳传，那个步韵，比对于华屋丘墟，生民涂炭之惨的大事情还起劲。
"胡元杀掠和满清焚屠的事件有什么关联？
",不过中国的有一些士大夫，总爱无中生有，移花接木的造出故事来，他们不但歌颂升平，还粉饰黑暗。关于铁氏二女的撒谎，尚其小焉者耳，大至胡元杀掠，满清焚屠之际，也还会有人单单捧出什么烈女绝命，难妇题壁的诗词来，这个艳传，那个步韵，比对于华屋丘墟，生民涂炭之惨的大事情还起劲。
"为什么有人会单独捧出“烈女绝命”、“难妇题壁”的诗词？
",不过中国的有一些士大夫，总爱无中生有，移花接木的造出故事来，他们不但歌颂升平，还粉饰黑暗。关于铁氏二女的撒谎，尚其小焉者耳，大至胡元杀掠，满清焚屠之际，也还会有人单单捧出什么烈女绝命，难妇题壁的诗词来，这个艳传，那个步韵，比对于华屋丘墟，生民涂炭之惨的大事情还起劲。
"与华屋丘墟、生民涂炭的惨状相比，这些艳传和步韵又有什么特点？
",不过中国的有一些士大夫，总爱无中生有，移花接木的造出故事来，他们不但歌颂升平，还粉饰黑暗。关于铁氏二女的撒谎，尚其小焉者耳，大至胡元杀掠，满清焚屠之际，也还会有人单单捧出什么烈女绝命，难妇题壁的诗词来，这个艳传，那个步韵，比对于华屋丘墟，生民涂炭之惨的大事情还起劲。
"强者是如何活着的？
",真正的强者不是因为某件事而壮烈的死去，而是因为某件事而卑微的活着。
"壮烈死去不是真正的强者的特征吗？
",真正的强者不是因为某件事而壮烈的死去，而是因为某件事而卑微的活着。
"真正的强者有什么样的特征？
",真正的强者不是因为某件事而壮烈的死去，而是因为某件事而卑微的活着。
"卑微的活着和壮烈的死去有什么区别？
",真正的强者不是因为某件事而壮烈的死去，而是因为某件事而卑微的活着。
"能举出一个真正的强者的例子吗？
",真正的强者不是因为某件事而壮烈的死去，而是因为某件事而卑微的活着。
"问题：1.什么是“无毒不丈夫”？2.什么是“最高的轻蔑”？3.为什么连眼珠也不转过去？
",诚然，“无毒不丈夫”，形诸笔墨，却还不过是小毒。最高的轻蔑是无言，而且连眼珠也不转过去。
"这种特点是如何描绘出来的？
",要极省俭的画出一个人的特点，最好是画他的眼睛。
"画眼睛有什么好处？
",要极省俭的画出一个人的特点，最好是画他的眼睛。
"画眼睛有什么技巧？
",要极省俭的画出一个人的特点，最好是画他的眼睛。
"画眼睛能够表达出什么？
",要极省俭的画出一个人的特点，最好是画他的眼睛。
"画眼睛是否跟画其他部位有什么不同？
",要极省俭的画出一个人的特点，最好是画他的眼睛。
